,品名,型号,米重/kg,长度/mm,支/件,材质,执行标准,品牌/厂家,提货地,理计,过磅,备注（可随意改动）,库存,供应商/联系方式（后台可见，每日更新价格时可选最低价供应商）,供货价/元,差价/元
矿用品,重轨,50kg,,10000,,U71Mn,,,,,,,,,,
矿用品,重轨,50kg,,12000,,U71Mn,,,,,,,,,,
矿用品,重轨,50kg,,12500,,U71Mn,,,,,,,,,,
矿用品,重轨,38kg~50kg,,,,50Mn,,,,,,,,,,
矿用品,起重轨,QU70,,300,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU70,,400,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU70,,3380,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU70,,5300,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU70,,6000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU70,,9800,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU70,,10000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU70,,11500,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU70,,12000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU80,,300,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU80,,400,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU80,,3380,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU80,,5300,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU80,,6000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU80,,9800,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU80,,10000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU80,,11500,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU80,,12000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,300,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,500,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,2860,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,3300,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,5800,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,6000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,8700,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,9140,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,10000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,11000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,11500,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,11950,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU100,,12000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,50,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,300,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,2860,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,3300,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,5800,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,6000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,8700,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,9140,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,10000,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,11500,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,11950,,U71Mn,,,,,,,,,,
矿用品,起重轨,QU120,,12000,,U71Mn,,,,,,,,,,
矿用品,U型钢,25U,,8000,,20MnK,,,,,,,,,,
矿用品,U型钢,25U,,8800,,20MnK,,,,,,,,,,
矿用品,U型钢,25U,,9000,,20MnK,,,,,,,,,,
矿用品,U型钢,25U,,9800,,20MnK,,,,,,,,,,
矿用品,U型钢,25U,,10000,,20MnK,,,,,,,,,,
矿用品,U型钢,25U,,10800,,20MnK,,,,,,,,,,
矿用品,U型钢,25U,,11000,,20MnK,,,,,,,,,,
矿用品,U型钢,25U,,11800,,20MnK,,,,,,,,,,
矿用品,U型钢,25U,,12000,,20MnK,,,,,,,,,,
矿用品,U型钢,25U,,12500,,20MnK,,,,,,,,,,
矿用品,U型钢,25U,,8000,,Q275,,,,,,,,,,
矿用品,U型钢,25U,,8800,,Q275,,,,,,,,,,
矿用品,U型钢,25U,,9000,,Q275,,,,,,,,,,
矿用品,U型钢,25U,,9800,,Q275,,,,,,,,,,
矿用品,U型钢,25U,,10000,,Q275,,,,,,,,,,
矿用品,U型钢,25U,,10800,,Q275,,,,,,,,,,
矿用品,U型钢,25U,,11000,,Q275,,,,,,,,,,
矿用品,U型钢,25U,,11800,,Q275,,,,,,,,,,
矿用品,U型钢,25U,,12000,,Q275,,,,,,,,,,
矿用品,U型钢,25U,,12500,,Q275,,,,,,,,,,
矿用品,U型钢,29U,,8000,,20MnK,,,,,,,,,,
矿用品,U型钢,29U,,8500,,20MnK,,,,,,,,,,
矿用品,U型钢,29U,,8800,,20MnK,,,,,,,,,,
矿用品,U型钢,29U,,9000,,20MnK,,,,,,,,,,
矿用品,U型钢,29U,,9800,,20MnK,,,,,,,,,,
矿用品,U型钢,29U,,10000,,20MnK,,,,,,,,,,
矿用品,U型钢,29U,,10500,,20MnK,,,,,,,,,,
矿用品,U型钢,29U,,10800,,20MnK,,,,,,,,,,
矿用品,U型钢,29U,,11000,,20MnK,,,,,,,,,,
矿用品,U型钢,29U,,11800,,20MnK,,,,,,,,,,
矿用品,U型钢,29U,,12000,,20MnK,,,,,,,,,,
矿用品,U型钢,36U,,8000,,20MnK,,,,,,,,,,
矿用品,U型钢,36U,,8500,,20MnK,,,,,,,,,,
矿用品,U型钢,36U,,8800,,20MnK,,,,,,,,,,
矿用品,U型钢,36U,,9000,,20MnK,,,,,,,,,,
矿用品,U型钢,36U,,9800,,20MnK,,,,,,,,,,
矿用品,U型钢,36U,,10000,,20MnK,,,,,,,,,,
矿用品,U型钢,36U,,10500,,20MnK,,,,,,,,,,
矿用品,U型钢,36U,,10800,,20MnK,,,,,,,,,,
矿用品,U型钢,36U,,11000,,20MnK,,,,,,,,,,
矿用品,U型钢,36U,,11800,,20MnK,,,,,,,,,,
矿用品,U型钢,36U,,12000,,20MnK,,,,,,,,,,
矿用品,π型梁,,,,,,,,,,,,,,,
矿用品,履带钢,,,,,,,,,,,,,,,
矿用品,锁扣钢,,,,,,,,,,,,,,,
矿用品,工字钢,30T,,3300,,Q235B,,,,,,,,,,
矿用品,工字钢,30T,,10000,,Q235B,,,,,,,,,,
矿用品,工字钢,30T,,11000,,Q235B,,,,,,,,,,
矿用品,工字钢,30T,,11500,,Q235B,,,,,,,,,,
矿用品,工字钢,30T,,11950,,Q235B,,,,,,,,,,
矿用品,工字钢,30T,,12000,,Q235B,,,,,,,,,,
矿用品,钢绞线,21.8,,,,,,,,,,,,,,
,铁丝,,,,,,,,,,,,,,,
,镀锌铁丝,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
